programa,-1,-1,1
uno,-55,-2,1
;,-75,-1,1
var,-15,-1,2
entero,-11,-1,3
x,-51,-2,3
comma,-76,-1,3
y,-51,-2,3
comma,-76,-1,3
z,-51,-2,3
;,-75,-1,3
real,-12,-1,4
a,-52,-2,4
comma,-76,-1,4
b,-52,-2,4
;,-75,-1,4
string,-13,-1,5
r,-53,-2,5
comma,-76,-1,5
s,-55,-2,5
;,-75,-1,5
logico,-14,-1,6
u,-54,-2,6
comma,-76,-1,6
v,-54,-2,6
;,-75,-1,6
inicio,-2,-1,7
x,-51,-2,8
=,-26,-1,8
10,-61,-1,8
+,-24,-1,8
20,-61,-1,8
+,-24,-1,8
y,-51,-2,8
;,-75,-1,8
a,-52,-2,9
=,-26,-1,9
10.20,-62,-1,9
*,-21,-1,9
b,-52,-2,9
;,-75,-1,9
r,-53,-2,10
=,-26,-1,10
hola,-63,-1,10
;,-75,-1,10
u,-54,-2,11
=,-26,-1,11
(,-73,-1,11
x,-51,-2,11
<,-31,-1,11
y,-51,-2,11
),-74,-1,11
||,-42,-1,11
(,-73,-1,11
z,-51,-2,11
==,-35,-1,11
10,-61,-1,11
),-74,-1,11
;,-75,-1,11
fin,-3,-1,12
